lon lat topography LAB
-34.500000 72.500000 -0.283500 161.520004
-33.500000 72.500000 -0.343320 156.720001
-32.500000 72.500000 -0.286320 151.839996
-31.500000 72.500000 -0.259540 146.229996
-30.500000 72.500000 -0.433220 140.039993
-29.500000 72.500000 -0.741610 132.940002
83.500000 72.500000 -1.819400 183.169998
84.500000 72.500000 -1.918300 185.639999
85.500000 72.500000 -2.438400 187.630005
86.500000 72.500000 -2.899500 188.669998
87.500000 72.500000 -2.660200 188.639999
88.500000 72.500000 -2.401400 187.929993
89.500000 72.500000 -2.337100 186.720001
90.500000 72.500000 -2.436700 185.380005
91.500000 72.500000 -2.253900 184.080002
92.500000 72.500000 -2.183500 182.279999
93.500000 72.500000 -2.064400 180.190002
94.500000 72.500000 -2.134600 177.910004
95.500000 72.500000 -2.243100 175.740005
96.500000 72.500000 -2.489400 173.800003
97.500000 72.500000 -2.416700 172.279999
98.500000 72.500000 -2.457100 171.199997
99.500000 72.500000 -2.385000 170.639999
100.500000 72.500000 -2.470400 170.979996
101.500000 72.500000 -2.422700 172.259995
102.500000 72.500000 -2.523500 174.080002
103.500000 72.500000 -2.556800 176.600006
104.500000 72.500000 -2.681500 179.550003
105.500000 72.500000 -2.459000 182.990005
106.500000 72.500000 -2.352000 186.839996
107.500000 72.500000 -2.121900 190.779999
108.500000 72.500000 -2.000500 194.550003
109.500000 72.500000 -1.799600 197.830002
110.500000 72.500000 -1.619900 200.669998
111.500000 72.500000 -1.519200 202.880005
112.500000 72.500000 -1.416700 203.679993
113.500000 72.500000 -1.475000 203.139999
114.500000 72.500000 -1.534000 200.449997
115.500000 72.500000 -1.500300 195.889999
116.500000 72.500000 -1.494300 189.960007
117.500000 72.500000 -1.453600 182.770004
-121.500000 71.500000 -1.674400 200.059998
-120.500000 71.500000 -1.825900 205.279999
-119.500000 71.500000 -1.945400 211.050003
-118.500000 71.500000 -1.922200 216.600006
-117.500000 71.500000 -1.811900 222.259995
-116.500000 71.500000 -1.686100 227.860001
-115.500000 71.500000 -1.564400 233.600006
-114.500000 71.500000 -1.526300 239.940002
-113.500000 71.500000 -1.469500 246.020004
-112.500000 71.500000 -1.405900 252.330002
-111.500000 71.500000 -1.325400 257.260010
-110.500000 71.500000 -1.307200 261.239990
-109.500000 71.500000 -1.312000 263.609985
-108.500000 71.500000 -1.360300 264.579987
-107.500000 71.500000 -1.377100 264.480011
-106.500000 71.500000 -1.395600 263.190002
-105.500000 71.500000 -1.437800 261.720001
-104.500000 71.500000 -1.629800 259.920013
-89.500000 71.500000 -1.825700 226.309998
-88.500000 71.500000 -1.610300 229.410004
-87.500000 71.500000 -1.413600 231.240005
-86.500000 71.500000 -1.335000 231.699997
-85.500000 71.500000 -1.272400 230.619995
-84.500000 71.500000 -1.215600 228.220001
-83.500000 71.500000 -1.177900 225.789993
-82.500000 71.500000 -1.291100 223.240005
